measure,time_period,rmd_sector,assets_million_ron,liabilities_million_ron,net_million_ron
stock,2017-Q3,F,584104.0,565256.4,18847.6
stock,2017-Q3,G,277181.6,456167.8,-178986.2
stock,2017-Q3,BNR,153496.5,171736.2,-18239.7
stock,2017-Q3,X,717266.6,283572.9,433693.7
stock,2017-Q4,H,587866.6,168256.4,419610.2
stock,2017-Q4,C,751808.8,1432744.1,-680935.3
stock,2017-Q4,F,604785.1,589435.1,15350.0
stock,2017-Q4,G,274394.8,452873.2,-178478.4
stock,2017-Q4,BNR,162610.4,181309.4,-18699.0
stock,2017-Q4,X,739156.4,296004.1,443152.3
stock,2018-Q1,H,592497.5,171263.7,421233.8
stock,2018-Q1,C,757021.0,1441928.4,-684907.4
stock,2018-Q1,F,612460.1,593927.0,18533.1
stock,2018-Q1,G,283718.7,465428.0,-181709.3
stock,2018-Q1,BNR,162261.6,180692.6,-18431.0
stock,2018-Q1,X,758204.0,312922.8,445281.2
stock,2018-Q2,H,599133.8,173539.5,425594.3
stock,2018-Q2,C,766588.2,1462207.7,-695619.5
stock,2018-Q2,F,614605.1,595791.0,18814.1
stock,2018-Q2,G,283021.4,462003.8,-178982.4
stock,2018-Q2,BNR,146686.2,165534.4,-18848.2
stock,2018-Q2,X,753469.7,304428.5,449041.2
stock,2018-Q3,H,609898.4,178342.5,431555.9
stock,2018-Q3,C,770992.7,1475007.3,-704014.6
stock,2018-Q3,F,629739.3,611237.7,18501.6
stock,2018-Q3,G,281979.4,470554.5,-188575.1
stock,2018-Q3,BNR,153840.0,170937.8,-17097.8
stock,2018-Q3,X,767870.5,308240.4,459630.1
stock,2018-Q4,H,569375.6,184977.4,384398.2
stock,2018-Q4,C,882817.8,1533457.8,-650640.0
stock,2018-Q4,F,642133.7,622520.0,19613.7
stock,2018-Q4,G,293867.9,481732.2,-187864.3
stock,2018-Q4,BNR,155399.4,174408.8,-19009.4
stock,2018-Q4,X,774259.3,320757.6,453501.7
stock,2019-Q1,H,579566.9,187832.4,391734.5
stock,2019-Q1,C,880447.2,1545670.6,-665223.4
stock,2019-Q1,F,648193.8,626199.3,21994.5
stock,2019-Q1,G,307324.8,502015.5,-194690.7
stock,2019-Q1,BNR,153109.4,173200.4,-20091.0
stock,2019-Q1,X,794744.4,328468.5,466275.9
stock,2019-Q2,H,591631.0,191376.9,400254.1
stock,2019-Q2,C,895444.9,1566391.6,-670946.7
stock,2019-Q2,F,664178.0,644680.7,19497.3
stock,2019-Q2,G,307526.3,517623.9,-210097.6
stock,2019-Q2,BNR,153345.6,174361.2,-21015.6
stock,2019-Q2,X,820957.1,338648.7,482308.4
stock,2019-Q3,H,598620.2,195748.4,402871.8
stock,2019-Q3,C,906265.4,1579573.8,-673308.4
stock,2019-Q3,F,684272.2,665356.0,18916.2
stock,2019-Q3,G,325118.8,542225.6,-217106.8
stock,2019-Q3,BNR,167213.4,190330.4,-23117.0
stock,2019-Q3,X,843068.7,351324.3,491744.4
stock,2019-Q4,H,757955.2,219098.3,538856.9
stock,2019-Q4,C,804554.2,1599531.2,-794977.0
stock,2019-Q4,F,718266.0,701022.9,17243.1
stock,2019-Q4,G,305821.1,538710.3,-232889.2
stock,2019-Q4,BNR,154846.8,178072.5,-23225.7
stock,2019-Q4,X,854397.8,359405.6,494992.2
stock,2020-Q1,H,772371.6,220765.2,551606.4
stock,2020-Q1,C,797679.7,1586264.3,-788584.6
stock,2020-Q1,F,732054.4,706477.2,25577.2
stock,2020-Q1,G,328512.6,564844.1,-236331.5
stock,2020-Q1,BNR,172294.3,197594.5,-25300.2
stock,2020-Q1,X,844834.3,371801.3,473033.0
stock,2020-Q2,H,786392.2,221324.6,565067.6
stock,2020-Q2,C,798958.5,1593187.4,-794228.9
stock,2020-Q2,F,742172.5,715070.4,27102.1
stock,2020-Q2,G,344826.9,610347.9,-265521.0
stock,2020-Q2,BNR,173266.0,200265.2,-26999.2
stock,2020-Q2,X,874990.6,380411.6,494579.0
stock,2020-Q3,H,801540.6,225082.1,576458.5
stock,2020-Q3,C,824411.4,1616489.8,-792078.4
stock,2020-Q3,F,760339.6,733812.7,26526.9
stock,2020-Q3,G,340997.3,638683.5,-297686.2
stock,2020-Q3,BNR,168020.9,195171.6,-27150.7
stock,2020-Q3,X,909842.6,395912.4,513930.2
stock,2020-Q4,H,865699.2,244088.7,621610.5
stock,2020-Q4,C,861864.1,1675320.4,-813456.3
stock,2020-Q4,F,801566.8,782022.5,19544.3
stock,2020-Q4,G,364916.7,709363.2,-344446.5
stock,2020-Q4,BNR,188961.2,215645.0,-26683.8
stock,2020-Q4,X,964333.1,420901.3,543431.8
stock,2021-Q1,H,876231.2,247029.2,629202.0
